id	well	plate	total_reads	coverage	genecounts	treatment	RNAlibBatch	RNAseqBatch	DNAlibBatch	DNAseqBatch	egglayBatch	eclosionBatch	platingBatch	part	mainchrgenecounts
111_D11_h	111_D11	D11	111	7513358	4.05663	5617955	1	3	2	1	3	1	5	23	head	4855663
111_D12_h	111_D12	D12	111	10366166	4.40215	4751058	1	3	2	1	3	1	5	23	head	4084449
111_D2_h	111_D2	D2	111	8123538	4.32842	3388724	1	3	2	1	3	1	5	23	head	2734829
111_D3_h	111_D3	D3	111	8416058	4.47592	4674453	1	3	2	1	3	1	5	23	head	3837706
111_D4_h	111_D4	D4	111	7081830	3.83249	4213815	1	3	5	1	3	1	5	23	head	3277307
111_D5_h	111_D5	D5	111	7877540	4.25219	5027091	1	3	2	1	3	1	5	23	head	4298084
111_D6_h	111_D6	D6	111	7436854	4.07388	2058562	1	3	2	1	3	1	5	23	head	1663814
111_D7_h	111_D7	D7	111	8126944	4.27777	4278752	1	3	2	1	3	1	5	23	head	3553292
111_D8_h	111_D8	D8	111	8935720	4.5774	3496433	1	3	2	1	3	1	5	23	head	2897778
111_E10_h	111_E10	E10	111	9355440	4.44478	5592890	1	3	2	1	3	1	5	23	head	4561633
111_E11_h	111_E11	E11	111	7309232	3.81937	4297398	1	3	2	1	3	1	5	23	head	3538835
111_E12_h	111_E12	E12	111	10021842	4.75936	3480706	1	3	2	1	3	1	5	23	head	2906702
111_E2_h	111_E2	E2	111	8521906	4.50909	2388643	1	3	2	1	3	1	5	23	head	1942336
111_E4_h	111_E4	E4	111	8420592	4.48485	2106525	1	3	2	1	3	1	5	23	head	1622626
111_E5_h	111_E5	E5	111	9935528	5.24528	5044269	1	3	2	1	3	1	5	23	head	4366876
111_E6_h	111_E6	E6	111	7645060	4.28858	2003880	1	3	2	1	3	1	5	23	head	1654343
111_E7_h	111_E7	E7	111	7965838	4.33572	4203254	1	3	2	1	3	1	5	23	head	3529205
111_E8_h	111_E8	E8	111	9033002	4.38354	5383828	1	3	2	1	3	1	5	23	head	4503347
